Dark_Channel_Value, Transmission_Rate, Output_Value
0, 1.0000, 128.0000
1, 0.9971, 127.6254
2, 0.9941, 127.2485
3, 0.9912, 126.8694
4, 0.9882, 126.4881
5, 0.9853, 126.1045
6, 0.9824, 125.7186
7, 0.9794, 125.3303
8, 0.9765, 124.9398
9, 0.9735, 124.5468
10, 0.9706, 124.1515
11, 0.9676, 123.7538
12, 0.9647, 123.3537
13, 0.9618, 122.9511
14, 0.9588, 122.5460
15, 0.9559, 122.1385
16, 0.9529, 121.7284
17, 0.9500, 121.3158
18, 0.9471, 120.9006
19, 0.9441, 120.4829
20, 0.9412, 120.0625
21, 0.9382, 119.6395
22, 0.9353, 119.2138
23, 0.9324, 118.7855
24, 0.9294, 118.3544
25, 0.9265, 117.9206
26, 0.9235, 117.4841
27, 0.9206, 117.0447
28, 0.9176, 116.6026
29, 0.9147, 116.1576
30, 0.9118, 115.7097
31, 0.9088, 115.2589
32, 0.9059, 114.8052
33, 0.9029, 114.3485
34, 0.9000, 113.8889
35, 0.8971, 113.4262
36, 0.8941, 112.9605
37, 0.8912, 112.4917
38, 0.8882, 112.0199
39, 0.8853, 111.5449
40, 0.8824, 111.0667
41, 0.8794, 110.5853
42, 0.8765, 110.1007
43, 0.8735, 109.6128
44, 0.8706, 109.1216
45, 0.8676, 108.6271
46, 0.8647, 108.1293
47, 0.8618, 107.6280
48, 0.8588, 107.1233
49, 0.8559, 106.6151
50, 0.8529, 106.1034
51, 0.8500, 105.5882
52, 0.8471, 105.0694
53, 0.8441, 104.5470
54, 0.8412, 104.0210
55, 0.8382, 103.4912
56, 0.8353, 102.9577
57, 0.8324, 102.4205
58, 0.8294, 101.8794
59, 0.8265, 101.3345
60, 0.8235, 100.7857
61, 0.8206, 100.2330
62, 0.8176, 99.6763
63, 0.8147, 99.1155
64, 0.8118, 98.5507
65, 0.8088, 97.9818
66, 0.8059, 97.4088
67, 0.8029, 96.8315
68, 0.8000, 96.2500
69, 0.7971, 95.6642
70, 0.7941, 95.0741
71, 0.7912, 94.4796
72, 0.7882, 93.8806
73, 0.7853, 93.2772
74, 0.7824, 92.6692
75, 0.7794, 92.0566
76, 0.7765, 91.4394
77, 0.7735, 90.8175
78, 0.7706, 90.1908
79, 0.7676, 89.5594
80, 0.7647, 88.9231
81, 0.7618, 88.2819
82, 0.7588, 87.6357
83, 0.7559, 86.9844
84, 0.7529, 86.3281
85, 0.7500, 85.6667
86, 0.7471, 85.0000
87, 0.7441, 84.3281
88, 0.7412, 83.6508
89, 0.7382, 82.9681
90, 0.7353, 82.2800
91, 0.7324, 81.5863
92, 0.7294, 80.8871
93, 0.7265, 80.1822
94, 0.7235, 79.4715
95, 0.7206, 78.7551
96, 0.7176, 78.0328
97, 0.7147, 77.3045
98, 0.7118, 76.5702
99, 0.7088, 75.8299
100, 0.7059, 75.0833
101, 0.7029, 74.3305
102, 0.7000, 73.5714
103, 0.6971, 72.8059
104, 0.6941, 72.0339
105, 0.6912, 71.2553
106, 0.6882, 70.4701
107, 0.6853, 69.6781
108, 0.6824, 68.8793
109, 0.6794, 68.0736
110, 0.6765, 67.2609
111, 0.6735, 66.4410
112, 0.6706, 65.6140
113, 0.6676, 64.7797
114, 0.6647, 63.9381
115, 0.6618, 63.0889
116, 0.6588, 62.2321
117, 0.6559, 61.3677
118, 0.6529, 60.4955
119, 0.6500, 59.6154
120, 0.6471, 58.7273
121, 0.6441, 57.8311
122, 0.6412, 56.9266
123, 0.6382, 56.0138
124, 0.6353, 55.0926
125, 0.6324, 54.1628
126, 0.6294, 53.2243
127, 0.6265, 52.2770
128, 0.6235, 51.3208
129, 0.6206, 50.3555
130, 0.6176, 49.3810
131, 0.6147, 48.3971
132, 0.6118, 47.4038
133, 0.6088, 46.4010
134, 0.6059, 45.3883
135, 0.6029, 44.3659
136, 0.6000, 43.3333
137, 0.5971, 42.2906
138, 0.5941, 41.2376
139, 0.5912, 40.1741
140, 0.5882, 39.1000
141, 0.5853, 38.0151
142, 0.5824, 36.9192
143, 0.5794, 35.8122
144, 0.5765, 34.6939
145, 0.5735, 33.5641
146, 0.5706, 32.4227
147, 0.5676, 31.2694
148, 0.5647, 30.1042
149, 0.5618, 28.9267
150, 0.5588, 27.7368
151, 0.5559, 26.5344
152, 0.5529, 25.3191
153, 0.5500, 24.0909
154, 0.5471, 22.8495
155, 0.5441, 21.5946
156, 0.5412, 20.3261
157, 0.5382, 19.0437
158, 0.5353, 17.7473
159, 0.5324, 16.4365
160, 0.5294, 15.1111
161, 0.5265, 13.7709
162, 0.5235, 12.4157
163, 0.5206, 11.0452
164, 0.5176, 9.6591
165, 0.5147, 8.2571
166, 0.5118, 6.8391
167, 0.5088, 5.4046
168, 0.5059, 3.9535
169, 0.5029, 2.4854
170, 0.5000, 1.0000
171, 0.4971, 0.0000
172, 0.4941, 0.0000
173, 0.4912, 0.0000
174, 0.4882, 0.0000
175, 0.4853, 0.0000
176, 0.4824, 0.0000
177, 0.4794, 0.0000
178, 0.4765, 0.0000
179, 0.4735, 0.0000
180, 0.4706, 0.0000
181, 0.4676, 0.0000
182, 0.4647, 0.0000
183, 0.4618, 0.0000
184, 0.4588, 0.0000
185, 0.4559, 0.0000
186, 0.4529, 0.0000
187, 0.4500, 0.0000
188, 0.4471, 0.0000
189, 0.4441, 0.0000
190, 0.4412, 0.0000
191, 0.4382, 0.0000
192, 0.4353, 0.0000
193, 0.4324, 0.0000
194, 0.4294, 0.0000
195, 0.4265, 0.0000
196, 0.4235, 0.0000
197, 0.4206, 0.0000
198, 0.4176, 0.0000
199, 0.4147, 0.0000
200, 0.4118, 0.0000
201, 0.4088, 0.0000
202, 0.4059, 0.0000
203, 0.4029, 0.0000
204, 0.4000, 0.0000
205, 0.3971, 0.0000
206, 0.3941, 0.0000
207, 0.3912, 0.0000
208, 0.3882, 0.0000
209, 0.3853, 0.0000
210, 0.3824, 0.0000
211, 0.3794, 0.0000
212, 0.3765, 0.0000
213, 0.3735, 0.0000
214, 0.3706, 0.0000
